Codigo;Tipo;Interno;Externo;Altura
1036;QUAD;134.0;144.0;3.0
1200;QUAD;86.7;96.9;5.1
1245;QUAD;74.3;87.7;5.2
1246;QUAD;58.7;71.9;5.0
1248;QUAD;102.5;112.7;3.5
1250;QUAD;183.3;189.0;4.0
1251;QUAD;137.8;145.8;2.2
1252;QUAD;75.2;85.4;5.1
1253;QUAD;146.6;158.6;6.0
1257;QUAD;106.6;113.6;3.5
1261;QUAD;194.0;204.0;3.7
1264;QUAD;133.8;143.8;5.0
1265;QUAD;83.6;93.6;5.2
1266;QUAD;71.0;81.0;5.0
1267;QUAD;58.6;68.6;5.0
1269;QUAD;120.0;130.2;3.1
1271;QUAD;49.0;59.0;5.0
1272;QUAD;109.0;119.4;5.0
1274;QUAD;45.5;55.5;5.0
1276;QUAD;141.8;151.8;3.0
1277;QUAD;67.6;78.0;5.2
1278;QUAD;62.0;72.0;5.0
1279;QUAD;82.0;96.0;6.5
1280;QUAD;92.7;105.3;6.6
1281;QUAD;108.2;122.0;6.5
1283;QUAD;90.0;103.0;5.1
1284;QUAD;131.2;145.1;6.4
1285;QUAD;113.6;123.8;5.0
1286;QUAD;101.0;111.0;5.0
1295;QUAD;97.4;108.8;5.0
1296;QUAD;104.0;116.0;4.7
1297;QUAD;120.5;136.1;7.6
1298;QUAD;128.8;146.6;8.4
1299;QUAD;139.8;158.8;7.0
1300;QUAD;159.1;177.3;7.7
1309;QUAD;108.0;123.0;7.7
1310;QUAD;82.5;94.5;4.4
1311;QUAD;183.0;204.0;7.7
1312;QUAD;73.6;83.0;3.6
1313;QUAD;62.0;72.0;3.7
1336;QUAD;66.0;76.0;5.0
1349;QUAD;61.2;66.4;5.4
1350;QUAD;73.6;80.0;3.2
1352;QUAD;76.6;82.0;5.4
1371;QUAD;72.0;83.0;2.0
1376;QUAD;64.8;74.4;2.0
1378;QUAD;64.0;70.0;3.0
1392;QUAD;72.0;82.6;3.0
1399;QUAD;84.0;88.0;3.0
1433;QUAD;39.0;60.0;10.0
1690;QUAD;82.7;96.3;5.0
1726;QUAD;54.4;60.4;2.5
1887;QUAD;113.5;121.5;4.0
1899;QUAD;56.0;66.0;5.0
1903;QUAD;97.7;105.7;4.0
1907;QUAD;107.8;121.0;5.0
1965;QUAD;87.6;104.0;6.35
3018;QUAD;118.5;135.0;6.5
3021;QUAD;103.4;119.6;6.3
3203;QUAD;81.2;91.4;5.2
3204;QUAD;94.0;104.0;5.0
3233;QUAD;110.0;118.0;5.0
3234;QUAD;144.2;150.2;4.0
3312;QUAD;77.4;87.8;4.0
3322;QUAD;95.5;111.6;12.4
3350;QUAD;306.0;313.0;3.5
3376;QUAD;35.8;41.0;5.4
3378;QUAD;45.0;50.0;5.0
3471;QUAD;68.2;75.8;3.7
3519;QUAD;190.0;197.0;3.5
3520;QUAD;130.5;137.5;3.5
3532;QUAD;72.6;82.8;2.5
3570;QUAD;74.5;85.9;10.0
3677;QUAD;157.8;171.8;7.0
3678;QUAD;132.5;145.5;6.8
4167;QUAD;73.95;84.15;6.9
4250;QUAD;15.4;22.4;8.5
4252;QUAD;42.0;50.0;6.5
4527;QUAD;342.0;349.0;3.8
5031;QUAD;14.0;19.4;2.7
5032;QUAD;9.0;12.4;1.7
5033;QUAD;12.0;15.0;1.5
5034;QUAD;56.7;61.7;2.5
5041;QUAD;11.0;14.5;1.5
5042;QUAD;7.0;11.0;1.7
5046;QUAD;32.5;37.5;2.5
5050;QUAD;25.0;29.0;2.0
5054;QUAD;19.0;25.5;3.2
5080;QUAD;52.8;59.6;3.5
5086;QUAD;138.0;145.0;1.5
5090;QUAD;90.0;96.8;3.4
5109;QUAD;9.7;16.0;3.2
5121;QUAD;72.5;79.3;3.4
5173;QUAD;22.8;34.2;3.5
5174;QUAD;22.2;28.6;3.2
5182;QUAD;31.7;37.8;6.5
5196;QUAD;64.3;69.3;2.5
5200;QUAD;41.2;46.2;6.2
5228;QUAD;75.2;82.4;3.6
5235;QUAD;65.6;70.6;5.4
5237;QUAD;25.0;32.0;3.5
5331;QUAD;84.0;91.0;4.6
5338;QUAD;323.5;333.5;4.8
5341;QUAD;39.0;44.0;2.5
5344;QUAD;21.5;26.5;2.7
5350;QUAD;63.0;69.8;3.4
5360;QUAD;30.7;36.1;2.7
5376;QUAD;21.0;26.0;2.7
5390;QUAD;53.0;58.0;3.2
5393;QUAD;18.4;21.0;1.5
5400;QUAD;36.3;46.3;5.0
5426;QUAD;78.3;84.9;3.3
5429;QUAD;100.4;107.0;3.5
5439;QUAD;26.7;38.7;3.0
5450;QUAD;46.1;50.5;1.8
5467;QUAD;116.0;126.2;5.1
5487;QUAD;55.5;60.5;3.4
5542;QUAD;57.2;62.2;2.5
5546;QUAD;40.7;47.7;7.0
5592;QUAD;89.5;94.5;3.3
5593;QUAD;90.0;96.0;3.0
5594;QUAD;100.0;106.4;3.2
5607;QUAD;103.3;117.3;7.0
5628;QUAD;48.0;63.0;1.5
5630;QUAD;37.4;45.0;1.0
5631;QUAD;42.3;53.6;2.8
5634;QUAD;80.0;95.8;6.7
5655;QUAD;58.0;70.0;6.0
5681;QUAD;108.5;120.7;6.1
5691;QUAD;36.2;46.0;5.3
5692;QUAD;82.3;95.0;6.35
5693;QUAD;94.8;107.0;6.1
5714;QUAD;113.2;119.2;6.3
5766;QUAD;63.1;68.1;2.5
5798;QUAD;69.0;84.0;7.5
5857;QUAD;148.4;168.4;2.0
5927;QUAD;88.2;93.2;9.3
5942;QUAD;41.3;54.3;2.4
5974;QUAD;109.0;118.0;6.6
5997;QUAD;64.0;75.0;5.2
6034;QUAD;53.6;58.8;6.2
6055;QUAD;19.0;25.8;5.0
6107;QUAD;87.5;93.5;6.5
6133;QUAD;37.55;41.75;3.45
6134;QUAD;66.8;71.2;2.5
6135;QUAD;56.0;62.4;3.25
6137;QUAD;111.0;122.6;3.3
6140;QUAD;7.7;13.9;2.6
6143;QUAD;112.0;125.0;4.5
6160;QUAD;110.0;115.0;1.8
6191;QUAD;63.3;77.9;7.3
6203;QUAD;59.8;69.8;7.0
6223;QUAD;77.8;93.8;7.1
6228;QUAD;73.4;86.0;5.4
6231;QUAD;54.0;66.0;5.3
6262;QUAD;25.0;31.6;3.5
6304;QUAD;106.0;123.0;6.0
6305;QUAD;165.0;182.0;6.0
6359;QUAD;67.7;78.7;3.6
