Codigo;Tipo;Externo;Interno;Altura
1116;GUIA;62.0;28.0;3.0
1134;GUIA;2.1;;
1147;GUIA;3.0;1.0;
1158;GUIA;86.0;31.75;2.5
1159;GUIA;82.0;19.0;3.0
1167;GUIA;3.1;;
1190;GUIA;91.0;15.88;3.17
1195;GUIA;114.3;38.1;4.76
1196;GUIA;3.1;;
1197;GUIA;101.6;9.5;3.17
1201;GUIA;127.0;38.1;4.7
1202;GUIA;127.0;20.0;4.7
1203;GUIA;3.1;;
1207;GUIA;152.4;38.1;4.7
1208;GUIA;4.1;;
1209;GUIA;76.2;19.05;4.7
1212;GUIA;101.4;20.0;4.7
1213;GUIA;165.0;38.1;4.8
1214;GUIA;88.9;15.88;3.17
1215;GUIA;5.0;1.0;
1216;GUIA;4.1;;
1217;GUIA;5.0;1.0;
1218;GUIA;5.0;1.0;
1220;GUIA;2.7;;
1221;GUIA;3.1;1.1;
1222;GUIA;3.0;1.0;
1223;GUIA;57.1;15.88;2.5
1224;GUIA;47.5;25.4;1.5
1225;GUIA;53.97;25.4;1.5
1226;GUIA;76.2;19.05;2.5
1227;GUIA;2.1;;
1228;GUIA;1.0;1.0;
1229;GUIA;2.1;;
1230;GUIA;5.0;1.0;
1231;GUIA;107.9;9.5;3.17
1232;GUIA;55.0;9.5;3.17
1233;GUIA;4.1;;
1237;GUIA;80.0;38.1;1.5
1239;GUIA;3.3;;
1249;GUIA;56.0;28.0;3.0
1273;GUIA;60.0;36.7;1.5
1282;GUIA;114.3;25.4;4.76
1287;GUIA;5.1;1.3;
1294;GUIA;1.1;;
1301;GUIA;4.1;;
1308;GUIA;127.0;31.75;4.7
1315;GUIA;152.4;31.75;4.7
1322;GUIA;165.0;31.75;4.8
1329;GUIA;88.9;19.05;4.76
1343;GUIA;6.1;1.1;
1358;GUIA;152.4;33.3;3.17
1359;GUIA;6.1;1.3;
1360;GUIA;127.0;39.0;3.2
1361;GUIA;5.1;1.1;
1362;GUIA;76.2;25.4;3.17
1363;GUIA;7.0;1.0;
1365;GUIA;3.1;1.1;
1366;GUIA;4.1;1.1;
1367;GUIA;100.0;15.88;3.17
1368;GUIA;2.7;;
1369;GUIA;2.1;;
1370;GUIA;1.1;;
1389;GUIA;100.0;15.0;2.5
1390;GUIA;75.0;15.0;2.5
1407;GUIA;125.0;20.0;3.0
1409;GUIA;82.5;15.0;3.0
1445;GUIA;2.1;;
1446;GUIA;3.1;;
1504;GUIA;100.0;15.0;3.17
1612;GUIA;1.0;1.0;
1678;GUIA;85.0;15.0;2.0
1687;GUIA;63.5;10.0;2.5
1688;GUIA;41.9;12.7;2.0
1689;GUIA;35.0;9.5;2.0
1711;GUIA;100.0;12.0;4.5
1712;GUIA;2.1;;
1727;GUIA;2.1;;
1734;GUIA;3.0;1.0;
1738;GUIA;110.0;9.5;3.3
1740;GUIA;70.0;15.0;3.0
1741;GUIA;63.5;15.0;3.0
1742;GUIA;127.0;31.75;4.76
1743;GUIA;100.0;15.0;2.0
1752;GUIA;90.0;15.0;2.0
1755;GUIA;44.45;15.0;3.17
1758;GUIA;66.34;12.7;3.17
1759;GUIA;120.5;9.5;3.4
1765;GUIA;1.0;1.0;
1769;GUIA;101.6;10.85;3.18
1770;GUIA;7.0;1.0;
1771;GUIA;7.0;1.0;
1783;GUIA;110.0;25.0;3.0
1790;GUIA;56.0;14.0;2.5
1791;GUIA;55.0;15.0;2.5
1793;GUIA;70.0;20.0;2.5
1794;GUIA;90.0;25.0;3.0
1804;GUIA;90.0;9.0;3.0
1805;GUIA;125.0;12.0;3.0
1809;GUIA;80.0;12.7;3.0
1810;GUIA;111.1;12.2;3.17
1826;GUIA;100.0;12.7;3.0
1830;GUIA;165.0;12.7;3.0
1836;GUIA;203.2;12.7;6.35
1852;GUIA;88.9;10.0;3.17
1868;GUIA;125.0;15.88;3.17
1882;GUIA;85.0;19.0;3.0
1883;GUIA;125.0;19.0;3.0
1895;GUIA;79.0;31.75;4.7
1900;GUIA;2.3;;
1932;GUIA;1.1;;
1937;GUIA;76.2;13.5;4.0
1938;GUIA;88.8;15.0;4.0
1945;GUIA;70.0;28.4;3.0
1962;GUIA;100.0;15.0;3.0
1971;GUIA;4.1;1.1;
1972;GUIA;114.0;30.0;4.7
1978;GUIA;101.6;19.8;3.17
1985;GUIA;1.0;1.0;
1991;GUIA;100.0;16.5;3.3
3008;GUIA;75.0;13.0;3.0
3019;GUIA;110.0;13.0;3.0
3020;GUIA;125.0;13.0;3.0
3043;GUIA;5.1;;
3074;GUIA;140.0;20.0;3.0
3076;GUIA;112.0;20.0;3.0
3085;GUIA;86.0;15.0;3.0
3093;GUIA;3.1;;
3094;GUIA;2.1;;
3097;GUIA;2.1;;
3100;GUIA;88.9;15.0;3.17
3105;GUIA;114.3;15.0;3.17
3120;GUIA;61.0;25.4;3.0
3121;GUIA;55.0;25.0;3.0
3126;GUIA;41.27;12.7;2.0
3138;GUIA;67.0;40.0;2.5
3154;GUIA;2.3;;
3156;GUIA;120.0;30.0;3.0
3157;GUIA;100.0;25.0;3.0
3167;GUIA;135.0;10.0;4.0
3168;GUIA;120.0;15.0;4.5
3169;GUIA;135.0;15.0;3.5
3171;GUIA;125.0;10.0;4.0
3172;GUIA;125.0;10.0;3.0
3175;GUIA;115.0;10.0;4.0
3177;GUIA;115.0;10.0;3.0
3178;GUIA;50.0;23.0;3.0
3179;GUIA;80.0;10.0;3.17
3186;GUIA;110.0;12.5;4.5
3196;GUIA;2.3;;
3205;GUIA;41.0;25.0;1.5
3206;GUIA;60.0;25.0;1.5
3208;GUIA;4.1;;
3213;GUIA;139.5;12.7;3.0
3285;GUIA;130.0;15.0;3.5
3289;GUIA;60.0;15.0;2.5
3293;GUIA;2.3;1.3;
3308-2;GUIA;60.0;5.6;2.5
3329;GUIA;4.1;;
3330;GUIA;70.0;9.5;4.0
3332;GUIA;127.0;12.7;3.9
3342;GUIA;41.0;21.0;1.5
3343;GUIA;41.0;31.3;1.5
3344;GUIA;53.5;20.5;1.5
3345;GUIA;56.5;25.4;1.5
3346;GUIA;59.5;30.0;1.5
3347;GUIA;66.5;25.4;1.5
3348;GUIA;72.0;31.0;1.5
3349;GUIA;70.0;23.5;3.17
3374;GUIA;45.0;5.5;2.5
3375;GUIA;80.0;5.5;2.5
3398;GUIA;56.0;19.5;3.17
3399;GUIA;2.7;;
3400;GUIA;69.0;19.05;3.17
3403;GUIA;75.0;15.0;3.0
3404;GUIA;157.0;15.0;3.17
3406;GUIA;100.0;9.7;2.5
3407;GUIA;95.0;10.0;2.5
3409;GUIA;135.0;8.0;2.5
3410;GUIA;135.0;8.0;4.0
3411;GUIA;145.0;9.7;2.5
3412;GUIA;144.0;8.0;4.0
3414;GUIA;105.0;15.0;2.5
3424;GUIA;150.0;15.0;4.9
3485;GUIA;41.0;5.5;2.5
3486;GUIA;70.0;5.5;2.5
3488;GUIA;120.0;15.0;3.0
3489;GUIA;125.0;15.0;3.0
3490;GUIA;135.0;25.0;3.5
3498;GUIA;101.6;12.7;3.17
3500;GUIA;66.5;38.1;1.5
3510;GUIA;125.0;8.0;2.5
3511;GUIA;125.0;8.0;4.0
3522;GUIA;114.0;20.0;3.17
3523;GUIA;120.0;8.0;2.5
3524;GUIA;120.0;8.0;4.0
3529;GUIA;160.0;20.0;6.0
3582;GUIA;1.0;1.0;
3586;GUIA;5.7;;
3587;GUIA;6.5;;
3633;GUIA;135.0;15.0;5.0
3634;GUIA;115.0;15.0;4.5
3635;GUIA;130.0;30.0;3.5
3636;GUIA;140.0;35.0;3.5
3637;GUIA;160.0;40.0;3.5
3638;GUIA;3.0;1.0;
3649;GUIA;60.0;5.6;2.5
3650;GUIA;36.9;5.4;2.45
3663;GUIA;110.0;35.0;3.0
3664;GUIA;95.25;38.1;3.17
3665;GUIA;63.5;31.75;1.5
3666;GUIA;120.0;35.0;3.0
3668;GUIA;1.1;;
3669;GUIA;1.1;;
3670;GUIA;7.1;;
3674;GUIA;120.5;7.0;3.17
3691-2;GUIA;50.8;5.6;2.5
3693-2;GUIA;82.6;5.6;2.5
3703;GUIA;4.3;;
3704;GUIA;1.3;;
3705;GUIA;1.0;1.0;
3708;GUIA;61.5;12.7;3.17
3709;GUIA;5.1;;
3710;GUIA;152.0;19.0;3.0
3711;GUIA;6.1;;
3720;GUIA;3.7;;
3723;GUIA;130.0;8.0;2.5
3754;GUIA;65.0;18.0;2.5
3762;GUIA;34.8;10.0;2.55
3763;GUIA;39.8;10.0;2.55
3764;GUIA;74.8;13.0;2.55
3765;GUIA;57.8;13.0;2.55
3766;GUIA;99.8;13.0;2.9
3780;GUIA;3.11;;
3781;GUIA;19.9;5.0;1.55
3817;GUIA;63.0;12.0;4.5
3822;GUIA;1.1;;
3828;GUIA;124.9;13.0;2.95
3829;GUIA;4.1;;
3830;GUIA;101.6;25.4;3.17
3831;GUIA;117.8;13.0;2.55
3832;GUIA;95.8;13.0;2.55
3833;GUIA;79.9;13.0;2.95
3834;GUIA;62.9;13.0;2.95
3844;GUIA;105.0;19.0;3.0
3845;GUIA;126.0;19.0;3.0
3846;GUIA;147.0;19.0;3.0
3847;GUIA;168.0;19.0;3.0
3848;GUIA;189.0;19.0;3.0
3853;GUIA;115.4;6.3;3.17
3884;GUIA;39.8;10.0;2.9
3896;GUIA;95.0;29.0;3.0
3897;GUIA;130.0;24.0;3.5
3898;GUIA;190.0;30.0;3.5
3938;GUIA;77.0;13.0;3.5
3939;GUIA;82.5;14.3;3.17
3940;GUIA;73.0;20.0;3.17
3941;GUIA;104.8;12.7;3.17
3942;GUIA;165.0;12.7;3.17
3943;GUIA;146.0;12.7;3.17
3954;GUIA;73.0;45.5;1.5
3966;GUIA;84.0;19.0;3.0
3968;GUIA;120.0;15.0;2.5
3969;GUIA;78.0;40.0;4.0
3983;GUIA;175.5;19.0;3.25
3984;GUIA;154.0;19.0;3.0
3985;GUIA;134.0;19.0;3.0
3986;GUIA;115.0;19.0;3.0
3987;GUIA;96.0;19.0;3.0
4011;GUIA;76.2;9.5;2.5
4012;GUIA;101.6;9.5;2.5
4013;GUIA;76.2;15.0;3.0
4014;GUIA;88.8;15.0;3.0
4015;GUIA;88.8;9.5;2.5
4016;GUIA;107.9;9.5;2.5
4029;GUIA;160.0;20.0;3.5
4032;GUIA;140.0;9.5;2.5
4033;GUIA;140.0;8.0;4.0
4043;GUIA;100.0;9.5;2.0
4052;GUIA;110.0;8.0;2.5
4053;GUIA;110.0;6.1;4.0
4057;GUIA;100.0;30.0;3.0
4077;GUIA;159.6;13.0;2.9
4082;GUIA;4.1;;
4100;GUIA;4.3;;
4101;GUIA;157.0;20.0;3.0
4103;GUIA;6.3;;
4104;GUIA;203.2;12.7;3.17
4106;GUIA;1.0;1.0;
4110;GUIA;4.3;;
4111;GUIA;2.1;;
4172;GUIA;197.0;19.0;3.25
4196;GUIA;120.0;12.5;2.8
4198;GUIA;87.5;50.0;2.5
4199;GUIA;2.0;1.0;
4202;GUIA;7.1;;
4203;GUIA;184.15;34.92;3.17
4207;GUIA;140.0;25.0;2.5
4213;GUIA;3.1;;
4221;GUIA;4.3;;
4237;GUIA;5.9;;
4239;GUIA;179.8;15.88;3.17
4241;GUIA;79.2;42.0;1.5
4249;GUIA;5.1;;
4251;GUIA;6.3;;
4318;GUIA;3.0;1.0;
4319;GUIA;7.1;;
4323;GUIA;158.75;12.7;3.45
4330;GUIA;138.0;12.7;3.17
4338;GUIA;3.3;;
4340;GUIA;2.1;;
4375;GUIA;80.0;;
4379;GUIA;133.35;25.9;3.17
4380;GUIA;150.0;25.0;3.5
4381;GUIA;134.5;9.5;3.3
4382;GUIA;115.0;9.5;2.5
4384;GUIA;120.0;9.5;2.5
4387;GUIA;7.1;;
4393;GUIA;140.0;20.0;3.5
4398;GUIA;95.25;9.5;3.17
4405;GUIA;105.0;10.0;4.5
4406;GUIA;110.0;10.0;4.5
4407;GUIA;120.0;10.0;4.5
4416;GUIA;130.2;9.5;3.17
4423;GUIA;140.0;17.0;3.5
4450;GUIA;92.07;12.7;3.17
4456;GUIA;116.36;15.9;3.17
4457;GUIA;98.7;12.7;3.17
4458;GUIA;82.55;25.4;3.17
4459;GUIA;83.85;12.7;3.17
4522;GUIA;220.0;19.0;3.25
4528;GUIA;127.0;25.0;3.17
4556;GUIA;127.0;10.0;4.0
4580;GUIA;66.0;25.0;1.5
4597;GUIA;115.0;15.0;3.0
4621;GUIA;140.0;15.0;5.0
4687;GUIA;234.95;57.15;3.17
4688;GUIA;132.08;63.5;2.54
4703;GUIA;134.2;12.8;3.05
4705;GUIA;120.65;19.05;3.17
4739;GUIA;140.0;15.0;3.0
4760;GUIA;111.1;31.75;3.17
4822;GUIA;150.0;20.5;3.5
4840;GUIA;115.0;15.0;1.5
4845;GUIA;130.0;40.0;3.5
4877;GUIA;228.6;12.7;3.17
4889;GUIA;160.0;15.0;3.0
4904;GUIA;140.0;30.0;3.5
4905;GUIA;150.0;15.0;3.0
4977;GUIA;177.8;25.4;3.17
4985;GUIA;105.0;25.0;2.5
4989;GUIA;;;
5059;GUIA;50.8;9.5;2.5
5084;GUIA;65.0;6.0;2.5
5094;GUIA;27.0;7.0;1.5
5133;GUIA;80.0;6.0;2.5
5180;GUIA;47.5;25.4;1.5
5336;GUIA;30.0;9.5;2.0
5355;GUIA;29.0;6.35;1.8
5386;GUIA;50.8;9.5;3.17
5402-2;GUIA;36.75;5.6;2.5
5406;GUIA;50.8;10.5;3.17
5462;GUIA;45.0;10.0;2.0
5552;GUIA;65.0;5.4;2.5
5600;GUIA;44.0;9.5;2.7
5626;GUIA;75.0;5.5;2.5
5721;GUIA;82.5;12.7;3.17
5734;GUIA;44.45;12.7;3.17
5737;GUIA;70.0;10.0;2.5
5741;GUIA;1.1;;
5763;GUIA;115.0;8.0;2.5
5847;GUIA;80.0;9.5;2.4
5850;GUIA;125.0;15.0;2.5
5862;GUIA;1.3;;
5864;GUIA;42.0;4.0;1.5
5875;GUIA;75.0;9.5;2.3
5880;GUIA;54.0;5.5;2.5
5884;GUIA;72.0;5.5;2.5
5889;GUIA;80.0;5.5;2.5
5892-2;GUIA;24.05;5.6;2.5
5907;GUIA;63.0;5.5;2.5
5929;GUIA;59.0;9.5;2.5
5957;GUIA;50.8;15.0;3.0
5981;GUIA;49.5;5.2;3.17
5984;GUIA;65.0;6.0;2.3
6002;GUIA;63.0;5.0;3.17
6003;GUIA;75.0;55.0;2.5
6023;GUIA;65.0;6.0;3.0
6049-2;GUIA;25.0;5.6;2.5
6073;GUIA;65.0;15.0;3.0
6083;GUIA;39.24;19.05;2.16
6115;GUIA;52.5;10.0;4.0
6118;GUIA;101.6;10.0;4.0
6126;GUIA;70.0;24.5;3.3
6128;GUIA;80.0;24.5;3.3
6147;GUIA;105.0;12.5;3.0
6182;GUIA;52.0;6.4;2.2
6188;GUIA;47.62;12.5;3.17
6200;GUIA;85.73;9.5;2.5
6212;GUIA;59.0;5.5;2.5
6215;GUIA;44.0;9.5;2.5
6226;GUIA;90.0;9.5;2.5
6232;GUIA;70.0;7.0;2.5
6272;GUIA;110.0;15.0;2.5
6348;GUIA;56.0;5.0;2.5
6352;GUIA;45.0;14.0;2.5
6353;GUIA;75.0;18.0;2.5
6364;GUIA;41.0;19.5;3.0
6372;GUIA;31.75;12.7;2.0
