Codigo;Tipo;Externo;Interno;Altura
1092;TEFLON;101.6;6.9;2.4
1093;TEFLON;114.3;9.3;3.8
1095;TEFLON;82.55;6.9;2.4
1096;TEFLON;101.6;9.3;3.2
1097;TEFLON;165.0;9.3;4.0
1098;TEFLON;107.95;6.2;3.0
1099;TEFLON;127.0;6.9;2.3
1100;TEFLON;76.2;6.9;2.4
1101;TEFLON;127.0;9.3;3.2
1102;TEFLON;88.9;6.9;2.3
1103;TEFLON;63.5;6.9;2.4
1104;TEFLON;114.3;6.9;2.4
1106;TEFLON;152.4;9.3;4.0
1107;TEFLON;52.0;6.3;3.0
1108;TEFLON;101.6;10.7;3.2
1109;TEFLON;76.2;10.7;3.2
1110;TEFLON;63.5;10.7;3.2
1111;TEFLON;88.9;10.7;3.2
1112;TEFLON;91.0;6.2;3.2
1119;TEFLON;76.2;6.35;3.2
1123;TEFLON;35.75;45.0;2.0
1124;TEFLON;42.1;45.0;2.0
1125;TEFLON;54.8;45.0;2.0
1126;TEFLON;67.5;45.0;2.0
1268;TEFLON;125.0;7.0;2.5
1288;TEFLON;114.3;6.2;3.8
1289;TEFLON;120.65;6.2;3.3
1290;TEFLON;139.7;9.3;3.2
1293;TEFLON;184.15;9.3;3.8
1303;TEFLON;100.0;6.2;3.2
1304;TEFLON;211.0;9.3;3.8
1305;TEFLON;88.9;4.76;3.0
1306;TEFLON;76.0;4.8;3.0
1318;TEFLON;130.0;7.0;2.4
1355;TEFLON;212.7;4.8;6.5
1356;TEFLON;170.0;4.7;5.5
1372A;TEFLON;107.95;6.1;3.05
1373A;TEFLON;131.0;6.1;3.3
1374A;TEFLON;166.0;7.9;4.6
1402;TEFLON;63.5;5.7;2.0
1415;TEFLON;93.0;6.0;3.5
1487;TEFLON;86.0;6.0;3.5
1654;TEFLON;139.7;8.0;3.2
1680;TEFLON;65.0;6.3;2.9
1682;TEFLON;77.78;11.0;3.2
1683;TEFLON;152.4;10.7;3.2
1684;TEFLON;127.0;10.7;3.2
1685;TEFLON;114.3;10.7;3.2
1696;TEFLON;45.0;2.3;2.5
1698;TEFLON;105.0;2.5;5.0
1778;TEFLON;99.0;6.0;2.6
1779;TEFLON;109.0;6.0;2.5
1846;TEFLON;80.0;4.8;2.0
1870;TEFLON;125.0;6.3;3.2
1898;TEFLON;71.0;5.7;2.0
1964;TEFLON;110.0;8.0;3.0
3004;TEFLON;58.0;3.8;2.0
3022;TEFLON;125.0;8.0;3.2
3069;TEFLON;101.6;6.0;3.6
3070;TEFLON;111.0;6.0;3.6
3071;TEFLON;82.0;5.8;2.5
