Codigo;Tipo;Externo;Interno;Altura
*7073;ANEL_UNIT;105.0;4.5;
*7128;ANEL_UNIT;245.0;3.0;
*7133;ANEL_UNIT;92.5;4.0;
*7135;ANEL_UNIT;128.0;4.2;
*7161;ANEL_UNIT;97.0;3.0;
*7171;ANEL_UNIT;101.19;4.0;
2002;ANEL_UNIT;1.07;1.27;
2003;ANEL_UNIT;1.42;1.52;
2004;ANEL_UNIT;1.78;1.78;
2005;ANEL_UNIT;2.57;1.78;
2006;ANEL_UNIT;2.9;1.78;
2007;ANEL_UNIT;3.68;1.78;
2008;ANEL_UNIT;4.47;1.78;
2009;ANEL_UNIT;5.28;1.78;
2010;ANEL_UNIT;6.07;1.78;
2011;ANEL_UNIT;7.65;1.78;
2012;ANEL_UNIT;9.25;1.78;
2013;ANEL_UNIT;10.82;1.78;
2014;ANEL_UNIT;12.42;1.78;
2015;ANEL_UNIT;14.0;1.78;
2016;ANEL_UNIT;15.6;1.78;
2017;ANEL_UNIT;17.17;1.78;
2018;ANEL_UNIT;18.77;1.78;
2019;ANEL_UNIT;20.35;1.78;
2020;ANEL_UNIT;21.95;1.78;
2021;ANEL_UNIT;23.52;1.78;
2022;ANEL_UNIT;25.12;1.78;
2023;ANEL_UNIT;26.7;1.78;
2024;ANEL_UNIT;28.3;1.78;
2025;ANEL_UNIT;29.87;1.78;
2026;ANEL_UNIT;31.47;1.78;
2027;ANEL_UNIT;33.05;1.78;
2028;ANEL_UNIT;34.65;1.78;
2029;ANEL_UNIT;37.82;1.78;
2030;ANEL_UNIT;41.0;1.78;
2031;ANEL_UNIT;44.17;1.78;
2032;ANEL_UNIT;47.35;1.78;
2033;ANEL_UNIT;50.52;1.78;
2034;ANEL_UNIT;53.7;1.78;
2035;ANEL_UNIT;56.87;1.78;
2036;ANEL_UNIT;60.05;1.78;
2037;ANEL_UNIT;63.22;1.78;
2038;ANEL_UNIT;66.4;1.78;
2039;ANEL_UNIT;69.57;1.78;
2040;ANEL_UNIT;72.75;1.78;
2041;ANEL_UNIT;75.92;1.78;
2042;ANEL_UNIT;82.27;1.78;
2043;ANEL_UNIT;88.62;1.78;
2044;ANEL_UNIT;94.97;1.78;
2045;ANEL_UNIT;101.32;1.78;
2046;ANEL_UNIT;107.67;1.78;
2047;ANEL_UNIT;114.02;1.78;
2048;ANEL_UNIT;120.37;1.78;
2049;ANEL_UNIT;126.72;1.78;
2050;ANEL_UNIT;133.07;1.78;
2103;ANEL_UNIT;2.06;2.62;
2104;ANEL_UNIT;2.84;2.62;
2105;ANEL_UNIT;3.63;2.62;
2106;ANEL_UNIT;4.42;2.62;
2107;ANEL_UNIT;5.23;2.62;
2108;ANEL_UNIT;6.02;2.62;
2109;ANEL_UNIT;7.59;2.62;
2110;ANEL_UNIT;9.19;2.62;
2111;ANEL_UNIT;10.77;2.62;
2112;ANEL_UNIT;12.37;2.62;
2113;ANEL_UNIT;13.94;2.62;
2114;ANEL_UNIT;15.54;2.62;
2115;ANEL_UNIT;17.12;2.62;
2116;ANEL_UNIT;18.72;2.62;
2117;ANEL_UNIT;20.3;2.62;
2118;ANEL_UNIT;21.89;2.62;
2119;ANEL_UNIT;23.47;2.62;
2120;ANEL_UNIT;25.07;2.62;
2121;ANEL_UNIT;26.64;2.62;
2122;ANEL_UNIT;28.24;2.62;
2123;ANEL_UNIT;29.82;2.62;
2124;ANEL_UNIT;31.42;2.62;
2125;ANEL_UNIT;32.99;2.62;
2126;ANEL_UNIT;34.59;2.62;
