Codigo;Tipo;Interno;Externo;Altura
1031;ARR_PU;78.8;88.7;2.6
1038;ARR_PU;89.4;102.4;2.4
1254;ARR_PU;41.3;51.8;3.0
1255;ARR_PU;44.4;59.0;3.0
1259;ARR_PU;64.2;82.3;5.0
1260;ARR_PU;75.9;92.9;5.5
1270;ARR_PU;57.2;74.5;4.7
1330;ARR_PU;62.7;80.2;4.8
1332;ARR_PU;51.2;66.0;3.0
1333;ARR_PU;69.5;86.6;4.8
1334;ARR_PU;38.25;52.35;3.0
1601;ARR_PU;41.6;56.0;3.0
1728;ARR_PU;44.8;60.5;7.9
1729;ARR_PU;56.7;72.2;7.9
1730;ARR_PU;51.3;67.1;8.0
1757;ARR_PU;113.4;126.4;2.4
1897;ARR_PU;70.4;89.8;6.35
1966;ARR_PU;56.8;70.2;3.5
1982;ARR_PU;62.8;77.6;3.0
3006;ARR_PU;70.0;76.2;4.3
3211;ARR_PU;43.0;54.6;2.0
3300;ARR_PU;89.8;100.4;
3577;ARR_PU;57.0;74.0;4.7
3578;ARR_PU;62.5;80.0;4.8
3579;ARR_PU;51.2;66.0;3.0
3580;ARR_PU;38.25;52.35;3.0
4236;ARR_PU;138.5;142.7;5.6
5035;ARR_PU;49.5;64.6;3.0
5068;ARR_PU;31.9;41.7;4.9
5150;ARR_PU;80.0;1.5;4.6
5166;ARR_PU;50.5;58.7;3.0
5268;ARR_PU;101.7;107.6;1.3
5304;ARR_PU;70.6;85.2;3.0
5469;ARR_PU;40.3;48.6;3.0
5661;ARR_PU;146.0;161.0;2.9
5674;ARR_PU;120.0;130.0;2.0
5675;ARR_PU;139.5;149.5;2.0
5977;ARR_PU;25.4;33.3;3.2
6186;ARR_PU;32.4;42.5;3.0
6237;ARR_PU;4.5;;
6238;ARR_PU;4.3;;
6239;ARR_PU;48.0;3.0;
6296;ARR_PU;12.25;15.65;2.85
6510;ARR_PU;34.7;47.7;3.0
6533;ARR_PU;12.7;19.7;2.8
6670;ARR_PU;57.3;71.7;2.1
6742;ARR_PU;32.65;37.45;1.35
6784;ARR_PU;89.7;98.6;1.55
6785;ARR_PU;115.3;124.4;1.55
6829;ARR_PU;45.0;50.8;1.0
6832;ARR_PU;41.8;50.8;1.5
6833;ARR_PU;45.15;51.15;1.0
6834;ARR_PU;25.8;32.0;3.1
6861;ARR_PU;67.8;77.0;1.6
6910;ARR_PU;90.0;100.0;2.4
9088;ARR_PU;64.4;70.1;1.4
9118;ARR_PU;24.7;26.7;2.45
9323;ARR_PU;41.8;47.1;1.5
9324;ARR_PU;58.4;64.0;1.5
9325;ARR_PU;84.8;90.2;1.5
9326;ARR_PU;90.1;95.1;1.5
9327;ARR_PU;94.55;99.75;1.1
9839;ARR_PU;36.3;41.1;4.0
9895;ARR_PU;34.8;47.5;6.35
9984;ARR_PU;50.0;62.0;3.2
AG7018;ARR_PU;114.6;119.6;1.35
AG7019;ARR_PU;215.2;229.8;2.1
AG7170;ARR_PU;50.0;62.0;3.2
AG7220;ARR_PU;51.2;63.5;6.3
AG7399;ARR_PU;44.65;57.75;3.0
AG7403;ARR_PU;38.3;51.4;
AG7409;ARR_PU;51.0;64.0;
AG7413;ARR_PU;63.1;79.3;4.8
AG7417;ARR_PU;101.6;110.0;1.75
AG7418;ARR_PU;125.5;134.1;1.75
AG7420;ARR_PU;81.5;90.0;1.75
AG7421;ARR_PU;106.3;114.7;1.75
AG7422;ARR_PU;131.5;139.9;1.75
AG7577;ARR_PU;93.0;102.4;1.4
AG7585;ARR_PU;86.9;92.4;1.4
AG7714;ARR_PU;57.0;74.8;2.1
AG7723;ARR_PU;75.0;95.0;3.0
AG7763;ARR_PU;111.3;117.1;1.0
AG7764;ARR_PU;152.85;158.65;1.0
AG7912;ARR_PU;49.5;64.6;3.0
AG8059;ARR_PU;25.0;38.0;5.8
AG8250;ARR_PU;79.3;85.0;1.4
