Codigo;Tipo;Interno;Externo;Altura
8006;BACKUP;3.56;6.26;1.24
8007;BACKUP;4.34;7.04;1.24
8008;BACKUP;5.13;7.83;1.24
8009;BACKUP;5.94;8.64;1.24
8010;BACKUP;6.73;9.43;1.24
8010ET;BACKUP;6.73;9.43;1.24
8010T;BACKUP;6.73;9.43;1.24
8011;BACKUP;8.31;11.01;1.24
8011T;BACKUP;8.31;11.01;1.24
8012;BACKUP;9.91;12.61;1.24
8013;BACKUP;11.56;14.26;1.24
8013ET;BACKUP;11.56;14.26;1.24
8014;BACKUP;13.16;15.86;1.24
8014ET;BACKUP;13.16;15.86;1.24
8015;BACKUP;14.73;17.43;1.24
8015T;BACKUP;14.0;16.6;1.2
8016;BACKUP;16.33;19.03;1.24
8016ET;BACKUP;15.87;19.05;1.4
8016T;BACKUP;15.8;18.5;1.2
8017;BACKUP;17.91;20.61;1.24
8017ET;BACKUP;17.0;19.7;1.4
8018;BACKUP;18.51;21.21;1.24
8018ET;BACKUP;19.05;22.22;1.4
8018T;BACKUP;19.3;22.0;1.2
8019;BACKUP;21.08;23.78;1.24
8019T;BACKUP;20.7;23.5;1.2
8020;BACKUP;22.68;25.38;1.24
8020T;BACKUP;22.4;25.4;1.2
8021;BACKUP;24.26;26.96;1.24
8021T;BACKUP;24.5;27.2;1.1
8022;BACKUP;25.86;28.56;1.24
8022T;BACKUP;25.86;28.56;1.24
8023T;BACKUP;27.4;30.0;1.2
8024;BACKUP;29.03;31.73;1.24
8109T;BACKUP;7.8;12.2;1.2
8110;BACKUP;9.91;14.27;1.35
8111;BACKUP;11.48;15.84;1.35
8111T;BACKUP;11.6;16.0;1.2
8112;BACKUP;13.08;17.44;1.35
8112ET;BACKUP;12.7;17.46;1.4
8113;BACKUP;14.66;19.02;1.35
8114;BACKUP;16.26;20.62;1.35
8114ET;BACKUP;15.87;20.63;1.4
8115;BACKUP;17.83;22.19;1.35
8115ET;BACKUP;17.46;22.22;1.4
8116;BACKUP;19.43;23.79;1.35
8116ET;BACKUP;19.43;23.79;1.34
8116T;BACKUP;19.43;23.79;1.34
8117;BACKUP;21.11;25.47;1.35
8118;BACKUP;22.68;27.04;1.35
8118T;BACKUP;21.1;25.5;1.2
8119;BACKUP;24.28;28.64;1.35
8120;BACKUP;25.86;30.22;1.35
8121;BACKUP;27.46;31.82;1.35
8122;BACKUP;29.03;33.39;1.35
8123;BACKUP;30.63;34.99;1.35
8124;BACKUP;32.21;36.57;1.35
8125;BACKUP;33.81;38.17;1.35
8125T;BACKUP;32.4;36.8;1.2
8126;BACKUP;35.38;39.74;1.35
8127;BACKUP;36.98;41.34;1.35
8128;BACKUP;38.56;42.92;1.35
8129;BACKUP;40.16;44.52;1.35
8130;BACKUP;41.73;46.09;1.35
8131;BACKUP;43.33;47.69;1.35
8132;BACKUP;44.91;49.27;1.35
8132T;BACKUP;45.5;49.5;1.2
8133;BACKUP;46.51;50.87;1.35
8134;BACKUP;48.08;52.44;1.35
8135;BACKUP;49.68;54.04;1.35
8136;BACKUP;51.26;55.62;1.35
8139;BACKUP;56.03;60.39;1.35
