Codigo;Tipo;Interno;Externo;Altura
OD015885200171B;OD;15.88;23.20;3.20
OD018005200171B;OD;18.00;25.30;3.20
OD020005200171C;OD;20.00;30.70;4.20
OD020005201171B;OD;20.00;27.30;3.20
OD022005200171C;OD;22.00;32.70;4.20
OD025005200171B;OD;25.00;32.30;3.20
OD025005200171C;OD;25.00;35.70;4.20
OD025405200171B;OD;25.40;32.70;3.20
OD028005200171C;OD;28.00;38.70;4.20
OD028505200171C;OD;28.58;39.20;4.20
OD028985200171B;OD;28.00;36.33;3.20
OD030005200171C;OD;30.00;40.70;4.20
OD031705200171C;OD;31.75;42.45;4.20
OD032005200171B;OD;32.00;39.30;3.20
OD032005200171C;OD;32.00;42.70;4.20
OD032005200172B;OD;32.00;42.70;3.20
OD032005200172C;OD;32.00;44.00;4.20
OD034905200171B;OD;34.92;42.22;3.20
OD035005200171C;OD;35.00;45.70;4.20
OD036005200171C;OD;36.00;46.70;4.20
OD038105200171C;OD;38.10;48.80;4.20
OD038105200171D;OD;38.10;53.20;6.30
OD040005200171C;OD;40.00;50.70;4.20
OD040005200171D;OD;40.00;55.10;6.30
OD040005200172C;OD;40.00;53.00;4.20
OD041205200171C;OD;41.27;51.34;4.20
OD042005200171C;OD;42.00;52.70;4.20
OD042005200171D;OD;42.00;57.10;6.30
OD044405200171D;OD;44.45;59.55;6.30
OD045005200171C;OD;45.00;55.70;4.20
OD045005200171D;OD;45.00;60.10;6.30
OD050005200171D;OD;50.00;65.10;6.30
OD050805200171D;OD;50.80;65.90;6.30
OD055005200171C;OD;55.00;65.70;4.20
OD055005200171D;OD;55.00;70.10;6.30
OD056005200171D;OD;56.00;71.10;6.30
OD057105200171D;OD;57.15;72.25;6.30
OD057155200171C;OD;57.15;67.85;4.20
OD060005200171C;OD;60.00;71.70;4.20
OD060005200171D;OD;60.00;75.10;6.30
OD063005200171D;OD;63.00;78.50;6.30
OD063505200171C;OD;63.50;74.20;4.20
OD063505200171D;OD;63.50;78.60;6.30
OD065005200171D;OD;65.00;80.70;6.30
OD069805200171D;OD;69.85;84.95;6.30
OD070005200171D;OD;70.00;85.10;6.30
OD070008100171C;OD;70.00;81.00;4.20
OD075005200171D;OD;75.00;90.10;6.30
OD076205200171D;OD;76.20;91.30;6.30
OD080005200171C;OD;80.00;90.70;4.20
OD080005200171D;OD;80.00;95.10;6.30
OD082505200171D;OD;82.50;97.60;6.30
OD084005200171D;OD;84.00;99.00;6.30
OD085005200171D;OD;85.00;100.60;6.30
OD088905200171D;OD;88.90;104.00;6.30
OD088905200171D;OD;88.90;104.00;6.30
OD090005200171D;OD;90.00;105.10;6.30
OD092005200171D;OD;92.07;107.17;6.30
OD095005200171D;OD;95.00;110.10;6.30
OD100005200171D;OD;100.00;115.10;6.30
OD101605200171D;OD;101.60;116.70;6.30
OD104505200212E;OD;104.50;125.00;8.10
OD105005200171D;OD;105.00;120.10;6.30
OD108005200171D;OD;108.0;123.70;6.30
OD110005200171D;OD;110.00;125.10;6.30
OD110005200171E;OD;110.00;130.50;8.10
OD110005200171E;OD;110.00;130.50;8.10
OD114305200171D;OD;114.30;129.40;6.30
OD120005200171D;OD;120.00;135.10;6.30
OD125005200171D;OD;125.00;140.10;6.30
OD127005200171D;OD;127.00;142.10;6.30
OD130005200171D;OD;130.00;145.10;6.30
OD140005200171D;OD;140.00;155.10;6.30
OD140005200171D;OD;140.00;155.10;6.30
OD142885200171E;OD;142.88;163.87;8.10
