Codigo;Tipo;Interno;Externo;Altura
OE012005200211A;OE;7.10;12.00;2.20
OE019005200211B;OE;11.50;19.00;3.20
OE025005200211B;OE;17.50;25.00;3.20
OE028005200211B;OE;20.50;28.00;3.20
OE028505200211B;OE;21.70;28.57;3.20
OE031705200211B;OE;24.20;31.70;3.20
OE032005200211B;OE;24.50;32.00;3.20
OE038005200211B;OE;30.50;38.00;3.20
OE038105200211C;OE;27.10;38.10;4.20
OE040005200211C;OE;29.00;40.00;4.20
OE044405200211C;OE;33.45;44.45;4.20
OE045005200211C;OE;34.00;45.00;4.20
OE045005200211D;OE;29.50;45.00;6.30
OE050005200211C;OE;39.00;50.00;4.20
OE050805200211C;OE;39.80;50.80;4.20
OE050805200211C;OE;39.80;50.80;4.20
OE052005200211C;OE;41.00;52.00;4.20
OE055005200211C;OE;44.00;55.00;4.20
OE057105200211C;OE;46.10;57.10;4.20
OE060005200211C;OE;49.00;60.00;4.20
OE063005200211B;OE;55.50;63.00;3.20
OE063005200211C;OE;52.00;63.00;4.20
OE063005200211C;OE;52.00;63.00;4.20
OE063005200211C;OE;52.00;63.00;4.20
OE063505200211C;OE;52.50;63.50;4.20
OE065005200211C;OE;54.00;65.00;4.20
OE069805200211C;OE;58.90;69.80;4.20
OE070005200211C;OE;59.00;70.00;4.20
OE075005200211C;OE;64.00;75.00;4.20
OE076205200211C;OE;65.20;76.20;4.20
OE080005200211D;OE;64.50;80.00;6.30
OE082605200211D;OE;67.10;82.60;6.30
OE085705200211D;OE;70.22;85.72;6.30
OE088205200211D;OE;72.70;88.20;6.30
OE088905200211D;OE;73.40;88.90;6.30
OE090005200211D;OE;74.50;90.00;6.30
OE093600100211D;OE;78.75;93.65;6.30
OE095005200211D;OE;79.50;95.00;6.30
OE095205200211D;OE;79.75;95.25;6.30
OE100005200211D;OE;84.50;100.00;6.30
OE101605200211D;OE;86.10;101.60;6.30
OE105005200211D;OE;89.50;105.00;6.30
OE107205200211D;OE;91.70;107.20;6.30
OE107905200211D;OE;92.40;107.90;6.30
OE110005200211D;OE;94.50;110.00;6.30
OE110005200212E;OE;89.00;110.00;8.10
OE111005200211D;OE;95.50;111.00;6.30
OE114305200211D;OE;98.80;114.30;6.30
OE115005200211D;OE;99.50;115.00;6.30
OE120005200211D;OE;104.50;120.00;6.30
OE125005200211D;OE;109.50;125.00;6.30
OE127005200211D;OE;111.50;127.00;6.30
OE130005200211D;OE;114.50;130.00;6.30
OE140005200211D;OE;124.50;140.00;6.30
OE140005200211E;OE;119.00;140.00;8.10
OE140005200212E;OE;121.80;140.00;8.10
OE145005200211E;OE;124.00;145.00;8.10
OE150005200211D;OE;134.50;150.00;6.30
OE150005200211E;OE;129.00;150.00;8.10
OE152405200211E;OE;131.40;152.40;8.10
OE152405200211E;OE;131.40;152.40;8.10
OE160005200211E;OE;139.00;160.00;8.10
OE160005200212E;OE;141.20;160.00;8.10
OE165005200211E;OE;144.00;165.00;8.10
OE171455200211E;OE;150.45;171.45;8.10
OE175005200211E;OE;154.00;175.00;8.10
OE177805200211E;OE;156.80;177.80;8.10
OE180005200211E;OE;159.00;180.00;8.10
OE190005200211E;OE;169.00;190.00;8.10
OE195605200211E;OE;174.60;195.60;8.10
OE200005200211E;OE;179.00;200.00;8.10
OE203205200211E;OE;182.20;203.20;8.10
OE203205200211E;OE;182.20;203.20;8.10
OE220005200211E;OE;199.00;220.00;8.10
OE225005200211E;OE;204.00;225.00;8.10
OE230005200211E;OE;209.00;230.00;8.10
OE250005200211E;OE;229.00;250.00;8.10
OE280005200211E;OE;259.00;280.00;8.10
