Codigo;Tipo;Interno;Externo;Altura
1050070;CAPPED;53.0;70.0;10.5
1059525;CAPPED;81.0;95.25;10.5
1100090;CAPPED;75.0;90.0;11.0
1107300;CAPPED;60.0;76.0;11.0
1150095;CAPPED;79.0;95.0;11.5
1200080;CAPPED;64.0;80.0;12.0
1200090;CAPPED;73.0;90.0;12.0
1200100;CAPPED;85.0;100.0;12.0
1200105;CAPPED;88.0;105.0;12.0
1200110;CAPPED;93.0;110.0;12.0
1200115;CAPPED;100.0;115.0;12.0
1200120;CAPPED;105.0;120.0;12.5
1200130;CAPPED;112.0;130.0;12.0
1200160;CAPPED;143.0;160.0;12.0
1210100;CAPPED;85.0;100.0;12.5
1250190;CAPPED;174.0;190.0;12.5
1401016;CAPPED;89.1;101.6;14.0
1470076;CAPPED;64.0;76.2;14.7
1470095;CAPPED;83.1;95.25;14.7
1470108;CAPPED;95.75;108.0;14.7
1470127;CAPPED;114.3;127.0;14.7
1470889;CAPPED;76.75;88.9;14.7
1471016;CAPPED;89.45;101.6;14.7
1471143;CAPPED;102.15;114.3;14.7
1471206;CAPPED;107.65;120.65;14.7
1478255;CAPPED;70.35;82.55;14.7
1580125;CAPPED;100.0;125.0;15.8
1580130;CAPPED;105.0;130.0;15.8
1580135;CAPPED;110.0;135.0;15.8
1580140;CAPPED;115.0;140.0;15.8
1580160;CAPPED;135.0;160.0;15.8
1600150;CAPPED;125.0;150.0;16.0
1600230;CAPPED;209.0;230.0;16.0
1800150;CAPPED;134.0;150.0;18.0
1905127;CAPPED;108.5;127.0;19.05
7000032;CAPPED;21.0;32.0;7.0
7000057;CAPPED;42.0;57.0;7.0
7500635;CAPPED;49.3;63.5;7.5
7506985;CAPPED;55.7;69.85;7.5
8000025;CAPPED;15.0;25.0;8.0
8000035;CAPPED;25.0;35.0;8.0
8000050;CAPPED;38.0;50.0;8.0
8000063;CAPPED;53.0;63.0;8.0
8000070;CAPPED;60.0;70.0;8.0
