Codigo;Tipo;Externo;Interno;AlturaBase;AlturaTotal
038103195475;BP;38.1;31.95;4.75;
040002900420;BP;29.0;40.0;4.2;
050003450630;BP;34.5;50.0;6.3;
050003900420;BP;39.0;50.0;4.2;
050804140714;BP;50.8;41.4;7.14;
060004450630;BP;44.5;60.0;6.3;
063505410714;BP;54.1;63.5;7.14;
070005450630;BP;54.5;70.0;6.3;
076206680714;BP;66.8;76.2;7.14;
085006950630;BP;69.5;85.0;6.3;
090007450630;BP;74.5;90.0;6.3;
100007900810;BP;79.0;100.0;8.1;
100008450630;BP;84.5;100.0;6.3;
101609221040;BP;92.2;101.6;10.4;
105008950630;BP;89.5;105.0;6.3;
110008900810;BP;89.0;110.0;8.1;
115009400810;BP;94.0;115.0;8.1;
120009900105;BP;99.0;120.0;10.5;
120009900810;BP;99.0;120.0;8.1;
127001151366;BP;115.0;127.0;13.66;
1300010900810;BP;109.0;130.0;8.1;
