Codigo;Tipo;Externo;Interno;AlturaBase;AlturaTotal
UHMW03200320;UHMW;32.0;24.8;3.2;
UHMW05000420;UHMW;50.0;39.0;4.2;
UHMW05080420;UHMW;50.8;39.8;4.2;
UHMW06350420;UHMW;63.5;52.5;4.2;
UHMW07000420;UHMW;70.0;59.0;4.2;
UHMW07620420;UHMW;76.2;65.2;4.2;
UHMW08565810;UHMW;85.65;70.17;8.1;
UHMW08890630;UHMW;88.9;73.4;6.3;
UHMW10160810;UHMW;101.6;86.1;8.1;
UHMW11430630;UHMW;114.3;98.8;6.3;
UHMW11430810;UHMW;114.3;98.8;8.1;
UHMW12500810;UHMW;125.0;104.0;8.1;
UHMW12700630;UHMW;127.0;111.5;6.3;
UHMW13970810;UHMW;139.7;118.7;8.1;
UHMW14000810;UHMW;140.0;119.0;8.1;
UHMW15240810;UHMW;152.4;131.4;8.1;
UHMW16510810;UHMW;165.1;144.1;8.1;
UHMW17780810;UHMW;177.8;156.8;8.1;
UHMW18500810;UHMW;185.0;164.0;8.1;
UHMW20320810;UHMW;203.2;182.2;8.1;
