Codigo;Tipo;Externo;Interno;AlturaBase;Altura
003200260;ZO;32.0;20.0;13.5;20.0
004000260;ZO;40.0;24.0;18.4;31.2
004000261;ZO;40.0;30.0;16.4;29.1
004000262;ZO;40.85;23.5;20.0;32.0
004500261;ZO;45.0;32.0;16.0;25.0
005000260;ZO;50.0;34.0;18.4;31.2
005500260;ZO;55.0;39.0;18.4;31.2
006000260;ZO;60.0;44.0;18.4;31.2
006000261;ZO;60.0;44.0;32.0;44.7
006300260;ZO;63.0;47.0;19.4;32.2
006400260;ZO;63.5;47.6;23.8;36.2
006500260;ZO;65.0;50.0;18.4;31.2
007600260;ZO;76.2;57.15;30.2;42.6
008000260;ZO;80.0;60.0;22.4;35.2
009000260;ZO;90.0;70.0;22.4;35.2
009200260;ZO;92.0;70.0;22.4;35.2
009500260;ZO;95.0;75.0;22.4;35.2
010000260;ZO;100.0;75.0;22.4;35.2
011000261;ZO;110.0;85.0;25.4;38.2
011500260;ZO;115.0;90.0;22.4;35.2
012000260;ZO;120.0;95.0;22.4;35.2
013000260;ZO;130.0;105.0;25.4;38.2
015000260;ZO;150.0;125.0;25.4;38.2
