Codigo;Tipo;Externo;Interno;AlturaBase;AlturaTotal
ZW-002000260;ZW;20.0;11.0;13.5;17.7
ZW-003200260;ZW;32.0;22.0;15.5;20.7
ZW-004500260;ZW;45.0;29.0;18.4;31.1
ZW-004500261;ZW;45.0;31.0;15.5;20.7
ZW-005000260;ZW;50.0;34.0;18.4;31.1
ZW-006000260;ZW;60.0;44.0;18.4;31.1
ZW-007000260;ZW;70.0;50.0;22.4;35.1
ZW-007600260;ZW;76.2;57.15;30.2;42.6
ZW-008000260;ZW;80.0;60.0;22.4;35.1
ZW-008500260;ZW;85.0;65.0;22.4;31.5
ZW-008570260;ZW;85.7;65.7;22.4;31.5
ZW-009000260;ZW;90.0;70.0;22.4;35.1
ZW-010000260;ZW;100.0;75.0;22.4;35.1
ZW-010500260;ZW;105.0;80.0;22.4;35.4
ZW-011000260;ZW;110.0;85.0;22.4;35.1
ZW-011100260;ZW;110.0;92.0;22.5;29.7
ZW-012500260;ZW;125.0;100.0;25.4;38.1
ZW-012500261;ZW;125.0;103.0;26.7;36.7
ZW-012700260;ZW;127.0;102.0;25.4;38.2
ZW-013000260;ZW;130.0;105.0;25.4;38.2
ZW-014000260;ZW;140.0;115.0;25.4;44.4
ZW-014000261;ZW;140.0;115.0;25.4;38.2
ZW-015000260;ZW;150.0;125.0;25.4;44.4
ZW-016000260;ZW;160.0;135.0;25.4;44.45
ZW-022000260;ZW;220.0;190.0;35.4;48.1
ZW-044450260;ZW;44.45;28.57;19.05;31.75
ZW-050800260;ZW;50.8;34.92;19.05;31.75
ZW-076200260;ZW;76.2;57.15;23.8;36.5
ZW-088900260;ZW;88.9;69.85;23.8;36.5
ZW-101600260;ZW;101.6;82.55;23.8;36.5
ZW-106000260;ZW;60.0;44.0;20.5;26.7
ZW-106300260;ZW;63.0;47.0;19.4;32.1
ZW-107000260;ZW;70.0;54.0;20.5;26.7
ZW-107500260;ZW;75.0;59.0;20.5;26.7
ZW-109000260;ZW;90.0;72.0;22.5;29.7
ZW-110000260;ZW;100.0;82.0;22.5;29.7
ZW-204000260;ZW;40.0;30.0;16.4;29.1
ZW-204000261;ZW;40.0;30.0;12.5;20.5
ZW-207000260;ZW;70.0;58.0;20.5;28.9
