Codigo;Tipo;Interno;Externo;Altura
5145-2;DUAL;68.8;76.0;4.6
5504;DUAL;56.1;63.0;4.0
5623;DUAL;68.9;75.5;4.8
5870;DUAL;59.4;66.0;4.0
5888;DUAL;73.4;80.2;6.0
5922;DUAL;40.0;45.0;4.4
6020;DUAL;57.5;62.9;4.8
6022;DUAL;44.7;50.8;4.9
6027;DUAL;76.9;82.55;5.2
6059;DUAL;22.0;26.8;5.4
6094;DUAL;14.0;18.0;5.8
6214;DUAL;55.5;60.5;4.0
6890;DUAL;93.4;100.0;4.8
6891;DUAL;102.31;107.95;4.8
9037;DUAL;51.0;55.0;3.0
9167;DUAL;65.0;70.0;4.0
9261;DUAL;88.9;95.25;6.0
9453;DUAL;83.26;88.9;4.76
9503;DUAL;124.94;132.1;4.85
AG7340;DUAL;54.2;61.2;4.75
AG8044;DUAL;73.5;80.5;4.8
AG8173;DUAL;26.9;32.0;4.0
AG8211;DUAL;108.65;114.3;4.76
AG8212;DUAL;115.0;120.65;4.76
AG8213;DUAL;121.35;127.0;4.76
AG8275;DUAL;70.0;73.5;5.0
AG8471;DUAL;60.0;67.1;4.5
AG8515;DUAL;84.3;90.0;5.7
AX0072;DUAL;160.2;171.0;6.5
AX0226;DUAL;151.4;163.8;7.0
