Codigo;Tipo;Interno;Externo;Altura;V
001;CHEVRON;25.4;44.45;24.0;4.0
002;CHEVRON;28.57;41.27;18.0;3.0
003;CHEVRON;31.75;44.45;22.0;4.0
005;CHEVRON;38.1;50.8;21.0;4.0
007;CHEVRON;41.27;53.97;20.0;3.0
008;CHEVRON;44.45;57.15;19.0;3.0
009;CHEVRON;44.45;63.5;26.0;5.0
010;CHEVRON;48.0;62.0;21.0;3.0
011;CHEVRON;50.8;63.5;20.0;3.0
012;CHEVRON;50.8;66.67;25.0;4.0
013;CHEVRON;50.8;69.85;26.0;5.0
015;CHEVRON;57.15;69.85;20.0;3.0
016;CHEVRON;57.15;73.02;26.0;4.0
017;CHEVRON;57.15;76.2;32.0;6.0
018;CHEVRON;60.32;76.2;21.0;4.0
019;CHEVRON;63.5;76.2;19.0;3.0
020;CHEVRON;63.5;79.37;28.5;5.0
021;CHEVRON;63.5;82.55;23.8;3.5
022;CHEVRON;69.85;82.55;24.0;3.0
023;CHEVRON;69.85;88.9;27.0;5.0
024;CHEVRON;70.5;89.3;33.0;5.0
025;CHEVRON;76.2;101.6;37.0;6.0
026;CHEVRON;82.55;95.25;23.0;3.0
027;CHEVRON;82.55;101.6;28.0;4.0
028;CHEVRON;85.0;104.0;26.0;4.5
030;CHEVRON;88.9;107.95;28.0;3.0
031;CHEVRON;88.9;114.3;34.0;6.0
032;CHEVRON;96.0;114.0;26.0;5.0
033;CHEVRON;100.0;125.0;37.0;7.0
034;CHEVRON;103.0;122.0;27.0;5.0
035;CHEVRON;107.95;127.0;25.0;6.0
036;CHEVRON;114.3;139.7;30.0;6.0
037;CHEVRON;120.0;150.0;42.0;6.0
050;CHEVRON;57.15;76.2;28.0;4.0
051;CHEVRON;75.0;95.0;30.0;5.5
052;CHEVRON;90.0;110.0;25.0;5.0
053;CHEVRON;93.0;107.0;20.0;5.0
054;CHEVRON;65.0;80.0;27.0;4.5
