Codigo;Tipo;Interno;Externo;Altura
50000;GSK;100.0;115.0;10.0
50001;GSK;95.0;110.0;10.0
50002;GSK;70.0;85.0;12.0
50003;GSK;80.0;95.0;12.0
50004;GSK;85.0;100.0;10.0
50006;GSK;80.0;95.0;10.0
50007;GSK;70.0;83.0;10.0
50008;GSK;69.85;82.55;8.0
50009;GSK;63.5;76.2;10.0
50010;GSK;44.45;53.98;6.35
50012;GSK;80.0;93.0;10.0
50013;GSK;57.15;69.85;9.53
50014;GSK;38.1;50.8;9.53
50015;GSK;50.8;63.5;10.0
50016;GSK;31.75;44.45;9.53
50017;GSK;44.45;57.15;9.52
50018;GSK;50.0;65.0;10.0
50019;GSK;56.0;71.0;10.0
50020;GSK;63.5;76.2;9.53
50021;GSK;75.0;88.0;10.0
50022;GSK;45.0;60.0;10.0
50023;GSK;50.8;63.5;9.53
50024;GSK;60.0;73.0;10.0
50025;GSK;50.0;63.0;10.0
50026;GSK;55.0;68.0;10.0
50027;GSK;41.28;53.98;9.53
50028;GSK;57.15;69.85;10.0
50029;GSK;56.0;66.0;7.3
50030;GSK;63.0;78.0;12.5
50031;GSK;69.85;82.55;9.53
50032;GSK;38.1;50.8;10.0
50033;GSK;50.0;60.0;7.3
50034;GSK;55.0;68.0;8.0
50035;GSK;65.0;78.0;10.0
50036;GSK;76.2;88.9;10.0
50037;GSK;55.0;70.0;11.4
50038;GSK;85.0;100.0;9.0
50039;GSK;70.0;85.0;9.0
50040;GSK;100.0;115.0;9.0
50041;GSK;110.0;125.0;9.0
50043;GSK;63.0;79.0;10.0
50044;GSK;80.0;95.0;9.0
50045;GSK;95.0;110.0;9.0
50046;GSK;75.0;85.0;6.0
50047;GSK;95.0;115.0;12.0
50048;GSK;80.0;90.0;7.0
50049;GSK;90.0;105.0;9.0
50050;GSK;40.0;50.0;7.1
50051;GSK;70.0;85.0;10.5
50052;GSK;50.0;65.0;11.0
50053;GSK;45.0;55.0;7.3
50054;GSK;63.0;73.0;8.7
50055;GSK;32.0;40.0;5.7
50056;GSK;125.0;140.0;10.9
50057;GSK;60.0;75.0;11.5
50058;GSK;60.0;75.0;10.0
50059;GSK;65.0;80.0;12.0
50060;GSK;30.0;40.0;8.0
50061;GSK;60.0;70.0;6.0
50062;GSK;90.0;105.0;12.0
50063;GSK;35.0;45.0;7.0
50064;GSK;45.0;60.0;12.0
50065;GSK;35.0;45.0;10.0
50066;GSK;100.0;120.0;14.5
50067;GSK;50.0;60.0;6.0
50068;GSK;31.75;41.28;7.94
50069;GSK;105.0;125.0;12.0
50070;GSK;82.55;95.25;9.53
50071;GSK;105.0;120.0;10.0
50072;GSK;115.0;130.0;10.0
