Codigo;Tipo;Diametro;Espessura
5598;ORING;47.35;1.78
6430;ORING;100.0;5.0
6440;ORING;110.0;5.0
6463;ORING;70.0;5.0
6464;ORING;90.0;5.0
6465;ORING;80.0;5.0
6466;ORING;50.0;3.0
6467;ORING;60.0;5.0
6468;ORING;65.0;5.0
6486;ORING;120.0;5.33
6828;ORING;44.04;3.53
9715;ORING;53.9;3.0
9769;ORING;3.2;1.8
AG7773;ORING;20.4;2.6
AG7774;ORING;22.0;2.6
AG7775;ORING;23.5;2.6
AG8251;ORING;152.0;8.0
AG8252;ORING;122.0;8.0
AG8491;ORING;30.0;2.0
AG8492;ORING;43.5;3.0
AG8501;ORING;63.5;3.0
AG8506;ORING;55.0;5.7
AG8512;ORING;130.5;5.0
AG8513;ORING;75.0;5.0
CX9481;ORING;16.0;2.0
