Codigo;Tipo;Interno;Externo;Altura
6279;RPA;6;9;2.7
6275;RPA;16;20.5;3.7
6278;RPA;8;11.5;3
6274;RPA;20;25;4.15
6277;RPA;10;14;3.4
6273;RPA;25;30;4.15
6276;RPA;12;16.5;3.7
7603PM;RPA;18;26;4.5
7619PM;RPA;20;26;4
7604PM;RPA;31.5;39.5;5
7610PM;RPA;35;43;5
8336PM;RPA;35;47;4.8
7602PM;RPA;35.5;43.5;4
8438PM;RPA;40;48;6
8507PM;RPA;40;48.6;5.3
7617PM;RPA;45;53;5
7958PM;RPA;70;78;6
8509PM;RPA;75;85;5.3
6303;RPA;4;8.2;3
6302;RPA;6;11.2;3.6
6301;RPA;8;14.2;3.6
6300;RPA;10;16.2;4.2
6621;RPA;16;22;3.8
5276;RPA;63.5;76.2;6.5
6855;RPA;19.05;25.4;4.4
6469;RPA;65;75;5.3
5639;RPA;22;32;5.5
1977;RPA;69.9;82.6;7
AG7223;RPA;25;31;5.1
AG7439;RPA;70;80;5.7
5730;RPA;28;36;4.7
9560;RPA;28;36;6
9869;RPA;30;38;5
6979;RPA;31.75;41.27;5
AG7569;RPA;32;40;6
6183;RPA;35;45;5.5
5638;RPA;35;45;6
6233;RPA;40;48;4.7
6673;RPA;40;50;5.3
AG7360;RPA;45;53;6
3092;RPA;46.8;57.15;5.3
6229;RPA;50;58;4.8
9127;RPA;50;58;6
1976;RPA;50;60;5.5
6224;RPA;60;70;5.5
AG7048;RPA;63;71;6
