Codigo;Tipo;Interno;Externo;Altura
9882;RP;10;15.3;2
1455;RP;38.1;50.8;8
AG8153;RP;12.7;25.4;6.35
1340;RP;38.1;57.15;9.5
9782;RP;17;23.5;3
6197;RP;40;50;3
AG8296;RP;18;25;6
4908;RP;40;50;5
5220;RP;19;25.4;3.5
TCS0450;RP;40;52;6
AG7204;RP;19;27;4.5
5470;RP;40;55;9
9180;RP;19;31.7;6.3
AG8045;RP;41.28;53.98;7.94
TCS0278;RP;19.05;25.4;3.18
5931;RP;41.3;47.62;3.2
AG7563;RP;20.6;31.75;5
1537;RP;41.3;50.8;5
6000;RP;22.2;28.6;3.2
TCS0868;RP;43;52;6.5
5877;RP;22.2;34.92;8
TCS0477;RP;43.66;65.05;12.7
5608;RP;25;32;4
1342;RP;44;57;6.5
AG7502;RP;25;32;5
AG7589;RP;44.45;50.8;3.2
AG8291;RP;25;35;4.8
1986;RP;44.45;61.9;9.5
TCS0329;RP;25;35;5
4336;RP;44.45;63.5;9.5
4362;RP;25;37;6
1454;RP;44.5;57.15;8
AG7803;RP;25.33;31.75;3.18
1536;RP;44.5;63.5;8
5170;RP;25.4;31.7;3.2
5171;RP;45;55;3.2
5939;RP;25.4;38.1;8
3775;RP;45;55;4
AG8293;RP;28;35;4
4891;RP;45;55;5
AG8293;RP;28;35;4
4909;RP;45;60;4
AG7668;RP;28;40;5
1969;RP;45;60;8
5960;RP;28.6;34.9;3.2
6211;RP;46;70;6.5
TCS0094;RP;28.6;34.9;3.2
TCS0609;RP;47;63;6
9778;RP;28.6;35;2.5
AG7484;RP;47.6;65;9.5
6904;RP;28.6;35;4
6112;RP;48;57;5.5
5663;RP;28.6;38.1;5
6809;RP;50;58;4
5231;RP;28.6;41.3;9
6198;RP;50;60;4
TCS0825;RP;30.2;42;6
4836;RP;50;60;5
6830;RP;31.75;42.92;5
3273;RP;50;63;4
1514;RP;31.75;44.45;8
4916;RP;50;64;7.9
5940;RP;31.75;52.4;9.5
4931;RP;50;65;4
CX7866;RP;32;42;6
1923;RP;50;65;8
TCS0822;RP;32;42;6
AG7346;RP;50.8;60.3;4.76
9998;RP;32;45;5.5
1505;RP;50.8;60.3;6.4
9800;RP;34.92;44.45;4.76
3477;RP;50.8;60.3;7
6209;RP;34.92;47.62;8
1344;RP;50.8;63.5;6.5
5845;RP;35;42;3.5
1453;RP;50.8;63.5;8
TCS0908;RP;35;42;4
1337;RP;50.8;68.3;9.5
4963;RP;35;45;5
1531;RP;50.8;70;5
AG7681;RP;35;45;7
6071;RP;52;65;8
5941;RP;38;54;8
AG7576;RP;53.98;73.02;9.5
1384;RP;38.1;50.8;6.4
6190;RP;54;63.5;5
1950;RP;54;65;3.2
4968;RP;75;85;6
4964;RP;55;70;6
4910;RP;75;90;5
4645;RP;56;70;7.5
1450;RP;76.2;88.9;8
1117;RP;56;71;9
AX0091;RP;80;90;4.5
CX6984;RP;56;72;6.5
3542;RP;80;90;7
AG7857;RP;57.15;66.68;4.78
3191;RP;80;94;8
1452;RP;57.15;69.85;8
1655;RP;80;95;5
AG7515;RP;57.15;73;6.35
1926;RP;80;100;10
1448;RP;57.2;76.2;9.5
1388;RP;82.55;95.25;8
AG7826;RP;57.2;82.6;6.5
4666;RP;82.55;98.43;7.94
AG7009;RP;57.35;72.85;6.35
4639;RP;82.55;114.33;6.35
6535;RP;60;67;4
AG8392;RP;84;95;4
4462;RP;60;70;5
4461;RP;85;95;5
3478;RP;60;70;7
3483;RP;85;95;7
AX0112;RP;60;73;8
4892;RP;85;100;5
3820;RP;60;74;8
4863;RP;85;100;8
AG8470;RP;60;75;4
3515;RP;88.9;101.6;8
4949;RP;60;75;5
4676;RP;88.9;104.77;7.94
4955;RP;60;75;6
3679;RP;88.9;104.77;8
1947;RP;60;75;7.5
1364;RP;88.9;114.3;13
1341;RP;60.3;79.4;9.5
3544;RP;90;100;7
4915;RP;63;75;7.9
4929;RP;90;104;8
1451;RP;63.5;76.2;8
4451;RP;90;105;4
1827;RP;63.5;77.8;9.5
3505;RP;90;105;6
1338;RP;63.5;82.55;10
4988;RP;90;105;8
1983;RP;64;78;8
4911;RP;90;106;8
3479;RP;65;75;7
4995;RP;90;110;8
4363;RP;65;79;7
1925;RP;90;110;10
4331;RP;65;80;5
4974;RP;95;110;8
4914;RP;65;80;7.5
1686;RP;95.25;111.12;7.94
AX0092;RP;65;85;5
3190;RP;96;109;8
4643;RP;69.47;82.55;8
1511;RP;100;110;7
1347;RP;69.8;82.55;8
AG7783;RP;100;115;8
AX0149;RP;69.85;88.9;6.35
4965;RP;100;116;8
1842;RP;69.85;95.25;9.53
4811;RP;100;120;10
4930;RP;70;80;4
4611;RP;101.6;117.47;7.94
3504;RP;70;80;5.5
4986;RP;103;116;4
1803;RP;70;80;7
4942;RP;109.85;130;8
3480;RP;70;80;7
4928;RP;110;120;7
4896;RP;70;83.5;6
4927;RP;110;125;8
AG7052;RP;70;85;5
AG7784;RP;120;130.17;7
1717;RP;70;85;7
AG7784;RP;120;130.17;7
1917;RP;71;86;5
4948;RP;120;150;12
3685;RP;125;138;4
3284;RP;125;140;7
3509;RP;136.5;152.4;5.5
4975;RP;140;160;8
4976;RP;150;180;8
3506;RP;190;210;10
AG7676;RP;10;16;3
4785;RP;100;116;8
AG7579;RP;10;16;5
4339;RP;110;120;7
5633;RP;15;25;5
AG8093;RP;110;126;9
9718;RP;16;22;3
3241;RP;125;140;9
AG7580;RP;16;26;5
3145;RP;140;155;9
9719;RP;18;28;7
3242;RP;150;165;9
AG7157;RP;18;32.3;6.8
AG7578;RP;22;28;5
9278;RP;22.2;31.8;4.8
AG7671;RP;25;35;5
AG7467;RP;25;35;7
6164;RP;32;42;7
9826;RP;35;45;7
AG8243;RP;38;48;7
4493;RP;38;53;5
1523;RP;40;50;6.5
3395;RP;40;52;7
1529;RP;45;55;7
AG7471;RP;45;57;7
1545;RP;47;57.15;7
3396;RP;50;62;7
1520;RP;50;65;7
4913;RP;55;65;5
1540;RP;55;66;7.5
6196;RP;55.6;65.1;7.5
1656;RP;56;70;8
3886;RP;57;70;5
4946;RP;57.15;73;6.35
1509;RP;60;70;7.5
3397;RP;63;77;8
6123;RP;65;75;7
3540;RP;70;80;7
1919;RP;70;80;7
AG8018;RP;75;83;7
4784;RP;75;90;5
3541;RP;80;90;7
3341;RP;80;94;8
3115;RP;84;99;8
1525;RP;84.1;95.25;7
3417;RP;85;99;8
3401;RP;90;100;7
3543;RP;90;100;7.5
3362;RP;90;104;8
TCS0133;RP;17.8;32.15;5.5
3368;RP;100;114;8
6194;RP;35;45;6.5
4839;RP;112;124;7
6195;RP;35;47;6.5
AG8431;RP;40;54;8
3014;RP;46;57;7
1508;RP;50;60;7
6144;RP;50;62;7
AG8381;RP;50;64;8
AG7767;RP;55;67;6.5
3013;RP;55;69;8
AG7366;RP;56;68;7
AG7380;RP;63;75;7
AG7814;RP;65;79;8
3015;RP;66;79;8
3051;RP;70;84;8
3046;RP;75;89;8
3052;RP;80;94;8
4408;RP;85;99;8
3491;RP;95;109;8
4479;RP;50;68.25;11
4862;RP;65;80;6
1335;RP;69.85;95.25;14
4861;RP;70;85;6
4846;RP;70;90.5;14
4242;RP;76.2;101.6;14
4860;RP;80;95;6
1357;RP;82.55;107.95;14.5
4699;RP;210;237;16
4887;RP;44.45;57.15;6.35
4810;RP;70;85;8
4809;RP;80;95;8
4973;RP;90;106;8
4944;RP;100;116;8
4890;RP;110;130;8
4862;RP;65;80;6
4918;RP;65;85;6
4861;RP;70;85;6
4926;RP;70;85;8
4917;RP;75;95;7
4873;RP;79.9;95;10.7
4860;RP;80;95;6
4967;RP;80;95;7.5
4912;RP;80;100;6
4978;RP;90;105;5
4979;RP;95;110;5
4980;RP;100;115;5
4981;RP;105;120;5
4982;RP;110;125;5
4987;RP;110;130;10
4983;RP;115;130;5
4984;RP;120;135;5
